start,cum1,ann1,br1,cum2,br2,wput,alpha1,beta1
2010-01-02,0.10358725423224135,0.10486860372432183,False,0.10358725423224135,False,0.0,-0.03411816901432879,1.2161694366080666
2010-07-02,0.5372696484899191,0.5395413737080244,False,0.5372696484899191,False,0.0,0.09533693421089934,1.1929335859096075
2011-01-02,0.0384198193722618,0.038880812226971484,False,0.0384198193722618,False,0.0,0.037283247089774985,1.0408404783980494
2011-07-02,-0.03441438647409012,-0.034623962687745924,False,-0.03441438647409012,False,0.0,-0.06740666890841882,1.1497322433614663
2012-01-02,0.13198717374158564,0.1320832995437411,False,0.13198717374158564,False,0.0,-0.008222571611494818,0.8155513613174707
2012-07-02,0.10167690988551659,0.10174998026194704,False,0.10167690988551659,False,0.0,-0.06598558124198152,0.8453328557135497
2013-01-02,0.3203868305294153,0.3206382025198855,False,0.3203868305294153,False,0.0,0.010118423045986393,1.1268182431455127
2013-07-02,0.17653086042466537,0.17666187375269393,False,0.17653086042466537,False,0.0,-0.09061720104829879,1.1881599983100026
2014-01-02,0.04162092592628319,0.04165001900653764,False,0.04162092592628319,False,0.0,-0.10836147029099817,1.1653812405215738
2014-07-02,0.07511099043761216,0.07516432308523568,False,0.07511099043761216,False,0.0,0.0025213930555128576,1.1200927730829457
2015-01-02,0.2706405640379699,0.27252840284482205,False,0.2706405640379699,False,0.0,0.23629330694109768,1.120275697908086
2015-07-02,0.102842104509413,0.10291605072278531,False,0.102842104509413,False,0.0,0.06986439774377204,1.0578464859884031
2016-01-02,0.5323451621559874,0.5400640302865045,False,0.5323451621559874,False,0.0,0.31669304082625704,0.9789476891782762
2016-07-02,0.6271365723051279,0.6387295057362992,False,0.6271365723051279,False,0.0,0.3218382780050007,1.0877789652299552
2017-01-02,0.48448135088980937,0.4864966850284851,False,0.48448135088980937,False,0.0,0.10513714821485186,1.6207224796627422
2017-07-02,0.3568367933408956,0.3582594034026947,False,0.3568367933408956,False,0.0,0.14094329001785194,1.3867758619253234
2018-01-02,-0.030952768210168347,-0.030973636965478724,False,-0.030952768210168347,False,0.0,0.08504503795686381,1.5224084428764564
2018-07-02,0.12109923958475921,0.12118701869345516,False,0.12109923958475921,False,0.0,-0.017455306140370858,1.5545126584171847
2019-01-02,0.23905203336955871,0.2392339553454721,False,0.23905203336955871,False,0.0,-0.045534640776851175,0.9264273788899574
2019-07-02,0.09516408729197123,0.09496010010535616,False,0.09516408729197123,False,0.0,0.02503393655240542,0.872078905705928
2020-01-02,0.43373274786129223,0.43550770272019945,False,0.43373274786129223,False,0.0,0.19474503949563884,1.2776191602423066
2020-07-02,0.5297507500251175,0.5301962288542459,False,0.5297507500251175,False,0.0,-0.011836169443907323,1.3539873571671266
2021-01-02,0.47878542843761873,0.4856121104275066,False,0.47878542843761873,False,0.0,0.06473470233915687,1.3016256653224898
2021-07-02,-0.19727267669927628,-0.1978781881097641,True,-0.19727267669927628,True,0.0,-0.05157544593595869,1.2704188489755057
2022-01-02,-0.07495932942942585,-0.07580749141298548,False,-0.07495932942942585,False,0.0,0.1269363116777177,0.9688413714317947
2022-07-02,0.026432097630339824,0.026822690082952905,False,0.026432097630339824,False,0.0,-0.08198353168394752,0.5999243377556868
2023-01-02,0.06300509874663418,0.06322816301603762,False,0.06300509874663418,False,0.0,-0.09055868915906351,0.6287324909956954
2023-07-02,0.5026304119129645,0.5030495778452602,False,0.5026304119129645,False,0.0,0.11237795193702789,1.4115284108761914
2024-01-02,0.63481709905719,0.6331712822137048,False,0.63481709905719,False,0.0,0.1522012073693176,1.684163452599619
2024-07-02,0.2702837779850755,0.2704919478492207,False,0.2702837779850755,False,0.0,0.08642305894014031,1.3290366637093027
2025-01-02,0.2944728159961385,0.2947016773145772,False,0.2944728159961385,False,0.0,0.0703208173201836,1.290411790467266
