start,cum1,ann1,br1,cum2,br2,wput,alpha1,beta1,cumH,brH,cum1n,br1n,turnover
2006-01-03,0.22158914738439028,0.22175662751680836,False,0.22158914738439028,False,0.0,0.047048771941256264,1.4072484785904833,0.1605096900151708,0,0.22036755823700593,0,1.0
2006-07-03,0.5356951716075578,0.5361464621276426,False,0.5356951716075578,False,0.0,0.19859108677301243,1.299955370918645,0.4589104130271797,0,0.5350808935389149,0,0.4
2007-01-03,0.18796113779877954,0.18810129171918133,False,0.18796113779877954,False,0.0,0.1380501171593498,1.1026229113739452,0.1285630809088405,0,0.18606039997830148,0,1.6
2007-07-03,0.028156678282405645,0.028098177060269514,False,0.028156678282405645,False,0.0,0.23959657299093637,1.1194563692718322,0.1642176849946657,0,0.026511627597153753,0,1.6
2008-01-03,-0.47905180437429173,-0.47928443238738616,True,-0.47905180437429173,True,0.0,-0.16505074328149982,1.0708665478947623,-0.10508759606508056,1,-0.47926018365254197,1,0.4
2008-07-03,-0.12218126827132791,-0.1225740138017497,True,-0.12218126827132791,True,0.0,0.023215113019114785,0.5837448526285478,0.03638511554972634,0,-0.12323465074940232,1,1.2
2009-01-03,-0.005082803228167898,-0.005156735995411332,False,-0.005082803228167898,False,0.0,-0.08859237942906072,0.2878970840109574,-0.0548286630667596,0,-0.0062604783734383496,0,1.1836916168417004
2009-07-03,0.18308814541019647,0.18543220688257267,False,0.18308814541019647,False,0.0,0.11383941204218023,0.21151608740831102,0.12393373813968656,0,0.18168773389048964,0,1.1836916168417009
2010-01-03,0.1285450387120477,0.12901379702311777,False,0.1285450387120477,False,0.0,-0.025201146240673048,1.2335257917087774,0.07211778677644531,0,0.12655339523535813,0,1.7647886512022013
2010-07-03,0.3733750928829713,0.3797442480968063,False,0.3733750928829713,False,0.0,0.07266808350411666,0.8564582046307424,0.30470633823882265,0,0.3717270427715118,0,1.2
2011-01-03,0.0804619490345595,0.08051922145950474,False,0.0804619490345595,False,0.0,0.05216973295238632,0.7351199375781537,0.026438851582831546,0,0.07959757947533186,0,0.8
2011-07-03,0.040043793491912894,0.040184033212884884,False,0.040043793491912894,False,0.0,-0.0027782341216521537,1.0258203333077611,-0.011958396182682796,0,0.03837972342232576,0,1.6
2012-01-03,0.054245425096936195,0.05413131077421762,False,0.054245425096936195,False,0.0,-0.027409108111721016,0.3982315548648796,0.0015331538420892965,0,0.052980330586819946,0,1.2
2012-07-03,0.11257761899197183,0.1126589159530671,False,0.11257761899197183,False,0.0,-0.013248342876368063,0.5971253163259946,0.056948738042373215,0,0.11079749480158463,0,1.6
2013-01-03,0.3516170945245216,0.35189605793862366,False,0.3516170945245216,False,0.0,0.04479535232309365,1.0590554989615286,0.2840362397982954,0,0.3505358008489019,0,0.8
