start,cum1,ann1,br1,cum2,br2,wput,alpha1,beta1
2011-07-02,0.1842533596578737,0.18549536614800055,False,0.1842533596578737,False,0.0,0.12984319999646404,0.9196101005836665
2013-01-02,0.24752480133991672,0.2477137912482985,False,0.24752480133991672,False,0.0,0.005369333843346798,0.8720215658760966
2013-07-02,0.2782377460624019,0.27845268524766187,False,0.2782377460624019,False,0.0,0.05797920125326435,0.832916219348212
2014-01-02,0.18895513514889095,0.1890960875250527,False,0.18895513514889095,False,0.0,0.04283484246379098,0.9646881821778942
2014-07-02,0.09598004947408878,0.09604884989339202,False,0.09598004947408878,False,0.0,0.02091931102490884,1.0977236072271046
2015-01-02,0.03134592092402522,0.03154324651366336,False,0.03134592092402522,False,0.0,0.02354848306944265,1.106152425608014
2015-07-02,0.06606066705560987,0.06610737777170206,False,0.06606066705560987,False,0.0,0.03327834860790377,1.069095820419037
2017-01-02,0.2762189602766949,0.2772883368407928,False,0.2762189602766949,False,0.0,0.03812313373225343,1.0688213107211892
2017-07-02,0.18927848332309116,0.18998665296852213,False,0.18927848332309116,False,0.0,0.030702446529864365,1.104888120540194
2018-01-02,-0.02711712176666259,-0.02713544082942032,False,-0.02711712176666259,False,0.0,0.03577075602550832,1.086307820418898
2018-07-02,0.15009125706479254,0.15020142004508386,False,0.15009125706479254,False,0.0,0.032265367676473054,1.0542557501162542
2019-07-02,0.1693291244762536,0.16895435181530538,False,0.1693291244762536,False,0.0,0.08793545468445756,1.0747310249388105
2020-01-02,0.1700912045238192,0.17072255581518747,False,0.1700912045238192,False,0.0,-0.003992250660252503,1.0818315003135108
2021-07-02,0.046412058666049694,0.04657509613214916,False,0.046412058666049694,False,0.0,0.13540397418920075,0.8217523512535432
2022-01-02,0.031649135759896474,0.03202764081344167,False,0.031649135759896474,False,0.0,0.1906716101932637,0.7958746578123819
2023-07-02,0.20082250885055264,0.2009730378872263,False,0.20082250885055264,False,0.0,0.020416673319355896,0.6799767244455414
2024-01-02,0.1796006538726871,0.17920145573645163,False,0.1796006538726871,False,0.0,0.009991845256744535,0.6462809685138503
2024-07-02,0.11671723390149835,0.1168016741797937,False,0.11671723390149835,False,0.0,0.0068253945594292705,0.7004810581674584
2025-01-02,0.26163683341918165,0.26183768293633203,False,0.26163683341918165,False,0.0,0.10698712751736947,0.6980061755193546
