start,cum_s,br_s,alpha_s,beta_s,cum_h,br_h,alpha_h,beta_h,cum_g,br_g,alpha_g,beta_g
2006-01-03,0.19555231651465355,False,0.030501893093230287,1.2960790600601855,0.2953091126748675,False,0.08575590582036957,1.5530818888052305,0.2932127421236359,False,0.08499190365158071,1.542210076756392
2006-07-03,0.20712755728506593,False,-0.027826034130002973,1.1684363379135643,0.04128510546049302,False,-0.047929015421415845,0.43731096692733556,0.04176277651898097,False,-0.04728023223467876,0.43425350155971004
2007-01-03,0.12478678195279302,False,0.07857603944599259,0.8958428451730632,0.16649280769596997,False,0.11599732038175553,0.8020602617693837,0.07034747777644967,False,0.0329473446604136,1.4872357978326805
2007-07-03,-0.18897941373252558,True,-0.008892850853515247,1.1213179245465805,-0.1540500972984703,True,-0.022833619762290702,0.8648850187182514,-0.11888080361491216,True,0.014632536077408404,0.8627851379888002
2008-01-03,-0.2565514183130715,True,0.013276144168020435,0.7620811541028758,-0.25004036011138875,True,0.00841132308675279,0.7302235471903865,-0.002126237050636526,False,0.022770655499921508,0.018253591676588046
2008-07-03,-0.16706551586691776,True,-0.08169973853634303,0.4176926202064973,-0.015092213160431855,False,0.009201358610999544,0.026769558875784954,-0.015092213160431855,False,0.009201358610999544,0.026769558875784954
2009-01-03,0.10537639155809297,False,0.044132331685726146,0.13862468505074815,0.08556469872561001,False,0.049290502305973635,0.02219184798006162,0.08556469872561001,False,0.049290502305973635,0.02219184798006162
2009-07-03,0.22676489165994518,False,0.12900828682951168,0.3805479143503916,0.10089260021098645,False,0.06535920153993631,0.01344078469734108,0.10089260021098645,False,0.06535920153993631,0.01344078469734108
2010-01-03,0.3661149344631929,False,0.15828433551492047,1.2887188406837846,0.40339837709823745,False,0.19075386304145936,1.2275696458114156,0.2276460416592605,False,0.08492209401304057,0.8828358663108488
2010-07-03,0.49802773719528814,False,0.054040022351845914,1.292636555870802,0.5210811831277757,False,0.06795075540140029,1.2988031672054463,0.3282367177599812,False,-0.005131212411695307,1.0304884715317317
2011-01-03,-0.012768444730648087,False,-0.023670744253378517,1.2471714531373637,0.0071169649349616115,False,-0.0030094599042858636,1.2501201886908844,0.05105449068947787,False,0.025489947063585015,0.9468846891423843
2011-07-03,0.02474184116922884,False,-0.019708671400514025,1.0326916197319276,0.022399011953314174,False,-0.022144564722514092,1.039868298536242,0.01813633776852619,False,-0.02869655011315332,0.9183032024245125
2012-01-03,0.13563783013819375,False,0.004503918217190459,0.7404527901740459,0.04878169822527467,False,-0.014600743272054025,0.27766388153464133,0.04878169822527467,False,-0.014600743272054025,0.27766388153464133
2012-07-03,0.19680639804658573,False,0.020706630192558244,0.8548719863465903,-0.11110062196475057,True,-0.1748969668906116,0.1832824229723855,-0.11110062196475057,True,-0.1748969668906116,0.1832824229723855
2013-01-03,0.2670458825390345,False,-0.026077328840876428,1.0816828256085091,0.05692448081476442,False,-0.12907990450047882,0.7139677785231258,-0.04305094500610762,False,-0.3066788235179609,1.093412812926615
2013-07-03,0.2822267149149109,False,0.007814320976056784,1.0941191275307922,0.16079140445483842,False,-0.0028078446173010795,0.6273665035919839,0.21255520118890026,False,0.036787232603866966,0.6481052655105874
2014-01-03,0.19685551394071577,False,0.042177070718979054,1.0550104700049987,0.1905276994327354,False,0.03984095399327177,1.0214360446616972,0.08725338501544555,False,-0.004932034630449266,0.5575285312821467
2014-07-03,0.13716789871880164,False,0.06540136494316773,1.060349804683233,-0.07734159802347462,False,-0.11646136416208087,0.2733374515350949,-0.06988944362245486,False,-0.10318264331024031,0.1154425448337539
2015-01-03,0.05101004650856544,False,0.020599050891790413,0.9183937104468124,0.04375152509799296,False,0.014318391114008068,0.9440114475223677,-7.905975236033314e-06,False,-0.03237079946658139,0.5613700411852128
2015-07-03,0.1808392749278609,False,0.13340528869258322,0.8750441428821147,0.17739465380371877,False,0.13029510409159287,0.8769174220185827,0.11392787710667296,False,0.07161570522852843,0.6317649881493839
2016-01-03,0.21033846297594905,False,0.0867992041130353,0.7275422863311559,0.20826657351162425,False,0.08444901419137059,0.732351244214593,0.12841786481574768,False,0.04498668990240192,0.42376528303675154
2016-07-03,-0.0005127355077210183,False,-0.12499140695223991,0.6858860729154839,0.0690495581131838,False,-0.07666949307926066,0.8141916298867428,-0.07730831189647458,False,-0.10099900156212593,-0.03153554838725942
2017-01-03,0.3027986035139676,False,0.06637453413057148,0.9919925325977517,0.30264860418728023,False,0.06639876450661118,0.9911497471944827,0.25327496070262434,False,0.051077685455069494,0.8465444395038868
2017-07-03,0.2647287412339605,False,0.09526996173433137,1.1470369635499287,0.262197643090454,False,0.0999422777413084,1.0749736255819615,0.06074340145744128,False,-0.02230840574998953,0.5020378026837103
