start,cum1,ann1,br1,cum2,br2,wput,alpha1,beta1,cumH,brH,cum1n,br1n,turnover
2006-01-03,0.35605515541389465,0.3563380801944458,False,0.35605515541389465,False,0.0,0.11531122530246939,1.99486066843696,0.35605515541389465,False,0.3546991002584807,0,1.0
2006-07-03,0.8111620809404094,0.8118990620326556,False,0.8111620809404094,False,0.0,0.33560177666609414,1.5687948527102105,0.8111620809404094,False,0.8111258576987905,0,0.020000000000000018
2007-01-03,0.09517605367897652,0.0952442531128106,False,0.09517605367897652,False,0.0,0.064314681411533,1.2074603739200398,0.09517605367897652,False,0.0937085177670467,0,1.34
2007-07-03,-0.06141172734429501,-0.06128982148767648,False,-0.06141172734429501,False,0.0,0.23008516673691934,1.3683016845771891,-0.06141172734429501,False,-0.06266943562965366,0,1.34
2008-01-03,-0.5655016271215286,-0.5657496260464261,True,-0.5655016271215286,True,0.0,-0.30324052751230596,1.090502807556996,-0.5655016271215286,True,-0.5655103170889861,1,0.020000000000000018
2008-07-03,-0.1428833180981368,-0.14333701423567047,True,-0.1428833180981368,True,0.0,0.049065822283581265,0.7052574171068897,-0.1428833180981368,True,-0.14410592451673676,1,1.426417714665377
2010-01-03,0.253624431120119,0.254597912907091,False,0.253624431120119,False,0.0,0.08868666219463109,1.184662100850721,0.253624431120119,False,0.25183623902403207,0,1.426417714665377
2010-07-03,0.512205492715121,0.5213534914792448,False,0.512205492715121,False,0.0,0.11584907394740386,1.0898896407103134,0.512205492715121,False,0.5111771929800746,0,0.68
2011-01-03,0.0165870417264542,0.01659849648437972,False,0.0165870417264542,False,0.0,0.00465744452384527,0.9836688676528276,0.0165870417264542,False,0.015895762538080227,0,0.68
2011-07-03,-5.996752728376631e-05,-6.017345353037662e-05,False,-5.996752728376631e-05,False,0.0,-0.03256539633723638,1.1061047134511954,-5.996752728376631e-05,False,-0.0013998871707971983,0,1.34
2012-01-03,0.06452342386832544,0.06438703572230065,False,0.06452342386832544,False,0.0,-0.043789666757286246,0.6193230164162151,0.06452342386832544,False,0.06309696248034191,0,1.34
2012-07-03,0.11356110874286762,0.11364315153857718,False,0.11356110874286762,False,0.0,-0.040531451889189586,0.8010693491477114,0.11356110874286762,False,0.11133398652538196,0,2.0
2013-01-03,0.4062947981036076,0.406623252950975,False,0.4062947981036076,False,0.0,0.06859709619050461,1.1459677839015554,0.4062947981036076,False,0.4044384889701109,0,1.32
2013-07-03,0.22161310248547217,0.22178060231215357,False,0.22161310248547217,False,0.0,-0.051180189898927864,1.1565699942965737,0.22161310248547217,False,0.2207824055757821,0,0.68
2014-01-03,0.13160049926112571,0.13208103796134907,False,0.13160049926112571,False,0.0,-0.027824403656405376,1.214102853939954,0.13160049926112571,False,0.12933729826260354,0,2.0
2014-07-03,0.2700863033638381,0.2711295145203787,False,0.2700863033638381,False,0.0,0.1785425786787169,1.0828968796894727,0.2700863033638381,False,0.26838438771733064,0,1.34
2015-01-03,0.07322470142443871,0.07433130783732511,False,0.07322470142443871,False,0.0,0.04652624245993246,1.0701764888628036,0.07322470142443871,False,0.07180804481855851,0,1.32
2015-07-03,0.044029092249362245,0.04455882194677674,False,0.044029092249362245,False,0.0,0.010881631898950327,0.9549037503648836,0.044029092249362245,False,0.04331915246663276,0,0.68
2016-01-03,0.8019688377447016,0.8026957947298257,False,0.8019688377447016,False,0.0,0.47223355551495017,1.1067988787112566,0.8019688377447016,False,0.7984009394459672,0,1.98
2016-07-03,0.8489697262580691,0.856027146329355,False,0.8489697262580691,False,0.0,0.44611310490434486,1.2035927079597775,0.8489697262580691,False,0.8477124268442136,0,0.68
2017-01-03,0.5655759930766604,0.5660567349495469,False,0.5655759930766604,False,0.0,0.09818561834588171,1.956445664228087,0.5655759930766604,False,0.5634781212459377,0,1.34
2017-07-03,0.32804887274959826,0.3283069676046322,False,0.32804887274959826,False,0.0,0.11938746000919148,1.4752345341009447,0.32804887274959826,False,0.32802231177214325,0,0.020000000000000018
2018-01-03,-0.10258939627387376,-0.10265592621289643,True,-0.10258939627387376,True,0.0,0.07289985686338518,1.600223578816539,-0.10258939627387376,True,-0.10377397827079227,1,1.32
2018-07-03,-0.04877198237093139,-0.04880455907867498,False,-0.04877198237093139,False,0.0,-0.2000034064189319,1.7021541705032301,-0.04877198237093139,False,-0.0494188174229192,0,0.68
2019-01-03,0.16366125975803691,0.1637820726330248,False,0.16366125975803691,False,0.0,-0.12233988904233951,0.929900176331094,0.16366125975803691,False,0.1621252268951563,0,1.32
2019-07-03,0.17642027900774293,0.17655120427634063,False,0.17642027900774293,False,0.0,0.10559744284888228,0.8794656131297037,0.17642027900774293,False,0.17486740423945268,0,1.32
2020-01-03,0.802241971869438,0.808834022157856,False,0.802241971869438,False,0.0,0.43468045558279156,1.229406795062144,0.802241971869438,False,0.799826967627133,0,1.34
