gen,n,breach,blo,bhi,mean,worst,alpha,beta
gaussian,39,0.07692307692307693,0.026506914073495688,0.2032137312805527,0.19690474383220327,-0.4790519081230832,0.05819036405006061,1.0472125674378447
t5,39,0.07692307692307693,0.026506914073495688,0.2032137312805527,0.1961650474112465,-0.4790519081230832,0.0576878837738533,1.0470489279995754
t3,39,0.05128205128205128,0.014177657646399527,0.1688593904563791,0.19655967442633704,-0.4790519081230832,0.05797495903684489,1.0433483999984348
empirical,39,0.05128205128205128,0.014177657646399527,0.1688593904563791,0.19752202579582928,-0.4790519081230832,0.05591050770694412,1.0577312868749351
